iter	Passed	Remaining
403	13169	19428
404	13204	19399
405	13239	19370
406	13274	19341
407	13311	19314
408	13346	19285
409	13382	19257
410	13417	19228
411	13452	19198
412	13487	19169
413	13522	19140
414	13557	19110
415	13574	19056
416	13608	19026
417	13644	18997
418	13678	18967
419	13713	18937
420	13748	18908
421	13786	18883
422	13830	18865
423	13869	18841
424	13907	18816
425	13959	18809
426	13994	18779
427	14011	18725
428	14044	18693
429	14080	18665
430	14114	18633
431	14149	18603
432	14184	18574
433	14218	18542
434	14252	18511
435	14289	18484
436	14330	18462
437	14365	18432
438	14400	18402
439	14435	18372
440	14471	18343
441	14507	18315
442	14543	18286
443	14578	18256
444	14615	18228
445	14650	18198
446	14685	18167
447	14720	18137
448	14756	18109
449	14796	18084
450	14838	18062
451	14875	18035
452	14914	18009
453	14952	17982
454	14991	17956
455	15026	17926
456	15061	17895
457	15097	17866
458	15131	17834
459	15167	17804
460	15202	17774
461	15208	17710
462	15242	17679
463	15279	17650
464	15316	17622
465	15353	17593
466	15388	17562
467	15423	17533
468	15458	17501
469	15494	17472
470	15528	17441
471	15563	17410
472	15598	17379
473	15635	17350
474	15669	17319
475	15705	17289
476	15741	17259
477	15776	17229
478	15821	17208
479	15828	17147
480	15867	17120
481	15905	17093
482	15942	17064
483	15980	17037
484	16018	17008
485	16053	16978
486	16087	16946
487	16122	16915
488	16158	16885
489	16191	16852
490	16227	16821
491	16262	16791
492	16300	16763
493	16334	16731
494	16370	16701
495	16405	16670
496	16441	16639
497	16476	16609
498	16512	16578
499	16547	16547
500	16577	16511
501	16613	16480
502	16648	16449
503	16683	16418
504	16720	16389
505	16755	16358
506	16790	16327
507	16839	16308
508	16879	16282
509	16919	16256
510	16960	16230
511	17002	16205
512	17042	16179
513	17080	16150
514	17118	16121
515	17158	16094
516	17197	16066
517	17236	16038
518	17276	16011
519	17319	15987
520	17360	15961
521	17400	15933
522	17440	15906
523	17491	15889
524	17530	15861
525	17572	15835
526	17612	15807
527	17651	15779
528	17673	15735
529	17712	15707
530	17752	15680
531	17799	15657
532	17845	15635
533	17890	15612
534	17935	15589
535	17979	15564
536	17987	15508
537	18003	15460
538	18046	15434
539	18089	15409
540	18131	15383
541	18138	15327
542	18176	15297
543	18191	15248
544	18234	15223
545	18274	15194
546	18319	15171
547	18359	15143
548	18399	15114
549	18439	15086
550	18478	15057
551	18518	15029
552	18560	15003
553	18600	14974
554	18643	14948
555	18683	14920
556	18724	14892
557	18764	14863
558	18812	14841
559	18857	14816
560	18900	14790
561	18944	14764
562	18989	14739
563	19000	14688
564	19042	14660
565	19084	14633
566	19123	14604
567	19164	14575
568	19203	14545
569	19242	14516
570	19283	14488
571	19324	14459
572	19363	14429
573	19401	14398
