iter	Logloss
0	0.6784876226
1	0.6651409696
2	0.6517764315
3	0.638888931
4	0.6262075897
5	0.6131167338
6	0.6014314467
7	0.589027044
8	0.577831794
9	0.5661820645
10	0.5559167119
11	0.5454636217
12	0.5357847523
13	0.5261516321
14	0.5173921027
15	0.5083497886
16	0.5002033617
17	0.4927369063
18	0.4851194221
19	0.4771092644
20	0.4685844217
21	0.4615335507
22	0.453761856
23	0.4471760073
24	0.4408226163
25	0.4349347846
26	0.4293317344
27	0.4219042991
28	0.4150396656
29	0.4096021141
30	0.4047208949
31	0.399215385
32	0.3945064103
33	0.3900880411
34	0.3844166662
35	0.3802315348
36	0.3758120965
37	0.3713924172
38	0.3665934154
39	0.3627214066
40	0.3584886429
41	0.355147367
42	0.3519443264
43	0.348552757
44	0.3454599084
45	0.3423937736
46	0.3396841633
47	0.3367387595
48	0.333407093
49	0.3301533702
50	0.32773526
51	0.324982555
52	0.3226207706
53	0.3200119553
54	0.3173391418
55	0.3146718854
56	0.3126333807
57	0.3103034623
58	0.308356159
59	0.3063726218
60	0.3042344586
61	0.3022742349
62	0.3000777802
63	0.2980127261
64	0.2958733461
65	0.2942661703
66	0.2926897391
67	0.29083677
68	0.2891788481
69	0.2873970918
70	0.2857276638
71	0.284346971
72	0.2829068387
73	0.2815748021
74	0.2799206663
75	0.2784946339
76	0.2770153019
77	0.2754749931
78	0.273917736
79	0.2729094612
80	0.2719609848
81	0.2706603622
82	0.269511791
83	0.2683459369
84	0.2673368625
85	0.2661453385
86	0.2651279472
87	0.2642189618
88	0.2633900492
89	0.2625671995
90	0.2617542725
91	0.2607592694
92	0.2599251093
93	0.2591152645
94	0.2583683157
95	0.2575059596
96	0.2565802155
97	0.2558656777
98	0.2549990437
99	0.2542696899
100	0.253660436
101	0.2529169882
102	0.2520936827
103	0.2514744484
104	0.2508018888
105	0.250066372
106	0.2493360991
107	0.2487301687
108	0.2477340438
109	0.2472321434
110	0.2466655121
111	0.246271756
112	0.2457153984
113	0.244976972
114	0.2444169663
115	0.2439287072
116	0.2434148589
117	0.2429470081
118	0.2424610792
119	0.2422213777
120	0.241805511
121	0.2414117634
122	0.240684008
123	0.240221215
124	0.2398081877
125	0.2392740936
126	0.2388884045
127	0.2383756049
128	0.2378688432
129	0.2374446126
130	0.2370697739
131	0.2367925401
132	0.2363947958
133	0.2358430679
134	0.2354102042
135	0.2351103247
136	0.2346963334
137	0.2341330367
138	0.2337371549
139	0.2334008254
140	0.2330047276
141	0.232662944
142	0.2322509073
143	0.2318814125
144	0.2315242772
145	0.2311610207
146	0.2308518431
147	0.2304860736
148	0.2302859797
149	0.2299324976
150	0.2295783417
151	0.2292500124
152	0.2290830565
153	0.2287839089
154	0.2284654909
155	0.2281480302
156	0.2277903967
157	0.227594964
158	0.227299739
159	0.2270129774
160	0.2267342049
161	0.2264773593
162	0.2262292494
163	0.2259683961
164	0.2257750093
165	0.2255576193
166	0.2253632068
167	0.2251204671
168	0.2248983197
169	0.2246885973
170	0.2244637002
171	0.2243047318
172	0.2240708116
173	0.2238936628
174	0.223697338
175	0.2235416295
176	0.2232755472
177	0.2230820181
178	0.2229275542
179	0.222717019
180	0.2224386771
181	0.2222671305
182	0.2220753002
183	0.2219136062
184	0.2217025779
185	0.2215219359
186	0.2213750506
187	0.2211255044
188	0.220926776
189	0.2207084172
190	0.2204682537
191	0.2202186061
192	0.2200399076
